label,avg_cross_label_rate,n_items
Acknowledge_Error,0.31666666666666665,16
Alignment,0.14640151515151517,88
Appreciation/gratitude,0.515702479338843,121
Approval/Reinforcement,0.632,25
Care_Coordination,0.46534090909090914,176
Connection,0.316984126984127,105
Diagnostics,0.34796747967479674,205
Drugs,0.3924329501915709,174
Economic_stability,0.4066666666666666,25
Encourage_questions,1.0,2
Explore_options,0.7777777777777778,18
Express_concern/unease,0.4453333333333333,25
General_information,0.42654320987654315,162
Health_care_access_and_quality,0.5075,100
Maintain_communication,0.5421171171171171,74
Making_decision_together,0.6153846153846154,13
Neighborhood_and_built_environment,0.2857142857142857,7
Positive_Remarks/Reward,0.41111111111111115,6
Prognosis,0.8194444444444443,6
Reassurance,0.6904761904761905,14
Sadness/fear,0.37166666666666665,10
Scheduling_appt,0.4167755991285403,153
Seeking_Approval,0.743103448275862,29
Share_options,0.7254901960784313,17
Summarize_and_confirm_understanding,0.3523809523809524,7
Symptoms,0.2555072463768116,115
active_participation_/involvement,0.6639269406392694,146
build_trust,0.3333333333333333,9
checking_understanding/clarification,0.7233333333333334,20
express_opinions,0.5830128205128206,52
instruction,0.6454545454545454,44
invite_collaboration,0.7272727272727273,11
salutation,0.010810810810810811,333
signoff,0.20642570281124498,249
state_preferences,0.6148148148148148,45
